"id","cat_id","sub_cat_id","author_ids","book_access","title","description","image","url_type","url","download_enable","book_on_rent","book_rent_price","book_rent_time","featured","status"
"32876026","1","1","4619015","Free","Crossed","Demon hunting ain’t so easy when you have to use an axe instead of a fireball.  A magical brand keeps Detroit sorcerer Sebastian Light from succumbing to the vampire infection roiling through his blood, but the brand also cuts him off from half of his power—maybe more.  Uncertain of his new limitations, Sebastian tries to play it safe even while hunting beasts on the Motor City’s paranormal most wanted list. But after a cadre of vampires attacks and burns down his home, like it or not, Sebastian must put those limits to the test—especially when he finds himself up against D-Town’s oldest and most powerful vampire.  More than Sebastian’s soul rides on finally defeating these undead deadbeats, including the lives of everyone he loves…  …and a chance to learn the truth behind his father’s mysterious death.","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1478348734i/32876026.jpg","local","upload\Rob Cornell\Crossed_-_Rob_Cornell.epub","0","0","0.00","0","0","1"
"32905552","1","1","15651298","Free","Rise of a Guardian and The Gateway Box Set","In four forgotten realms a new society is formed and will begin a new legacy for the people of the universe. Centuries later, a young outcast, Killian Thomas, is given one chance to learn the truth about his past. But history is about to repeat itself. An evil society from the beginning is threatening to destroy the realms. Killian must learn to control ancient magic before he allows it to overtake him, or countless lives will be lost. Join the epic fantasy adventure with the first two books in the Lost Relics library.","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1478553896i/32905552.jpg","local","upload\L.J. Andrews\The_Lost_Relics_Box_Set_1-3_-_L._J._Andrews.epub","0","0","0.00","0","0","1"
"32927031","1","5","3378320","Free","Flying Through Fire","Winged monsters have been seen in the skies, and a pestilence follows in their wake, threatening the very survival of mankind. Only the crew of the Blood Hunter knows where they come from, and only one man has the power to send them back--Thorne, a human/dragon hybrid in possession of mental powers beyond comprehension.Candace Decker doesn't need anyone to look after her--she's a badass werewolf more than capable of protecting herself and those she loves. All the same, she's always been drawn to Thorne's strength. In an uncertain world, he's the one man who makes her feel safe. And what Candy wants, she usually gets.But while Candy is tenacious, Thorne's willpower has been honed over ten thousand years. He might want her, but the last thing he needs is an infatuation with a young, impetuous werewolf. Candy makes him lose control, and that could have disastrous consequences.As the threat escalates and they become separated by time and space, Candy must find a way back to him, because while Thorne alone has the power to defeat the dragons, only together can they finally bring peace to the universe.","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1478738621i/32927031.jpg","local","upload\Nina Croft\Flying_Through_Fire_(Dark_Desir_-_Nina_Croft.epub","0","0","0.00","0","0","1"
"32929177","1","1","6860531","Free","A King of Shadow","SECRETS LURK IN THE DARKEST CORNERS...The longer Hazel and her fellow Shadians stay in Nevertide, the more of a mystery the hidden land becomes to them - and when events within Hellswan take a more sinister, disturbing turn, it's becoming harder to know who to trust.All Hazel does know is that danger is closing in, just like the shadows that lurk in every corner of the castle - and within the heart of her new king...Return to the lives of the Novaks. Buy now!*Beware of spoilers in the reviews below that are without spoiler alerts*","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1478641206i/32929177.jpg","local","upload\Bella Forrest\A_King_of_Shadow_-_Bella_Forrest.epub","0","0","0.00","0","0","1"
"32936958","1","1","181368","Free","All The Care In The World","

Mills & Boon are proud to present a thrilling digital collection of all Sharon Kendrick’s novels and novellas for us to celebrate the publication of her amazing 100th book! Many of these books are available as e books for the first time.


What the heart wants…
Transferring in the middle of her general practice training wasn’t easy for Dr Nancy Greenwood, but her husband had made things so awkward for her. Nancy knew in her heart that her marriage was long over, but she didn’t break promises easily.The attraction she feels for Dr Callum Hughes, her new trainer, only spurs her efforts to keep to her marriage. But between her husband’s hostility and Callum’s warmth and support, Nancy has a difficult decision to make…one that will take all the care in the world.","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1478770311i/32936958.jpg","local","upload\Sharon Kendrick\ALL_THE_CARE_IN_THE_WORLD_-_Sharon_Kendrick.epub","0","0","0.00","0","0","1"
"32937273","1","1","181368","Free","Passionate Fantasy","
Mills & Boon are proud to present a thrilling digital collection of all Sharon Kendrick’s novels and novellas for us to celebrate the publication of her amazing 100th book! Many of these books are available as e books for the first time.

Out of the frying pan…
Kitty Goodman is overly qualified to be the famous film director’s new cook. But Kitty has an ulterior motive for wanting to work for the darkly brooding man. Believing him to have stolen his latest film idea from a close friend, Kitty is determined to prove that Darius is the most devious man in the world!
Into the fire!
But Kitty isn’t immune to the fierce heat of the attraction that sizzles when they’re together, and once she sees to the heart of him, she realises that Darius – the man she loves – can’t be the awful man her friend believes…can he?","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1478774289i/32937273.jpg","local","upload\Sharon Kendrick\PASSIONATE_FANTASY_-_Sharon_Kendrick.epub","0","0","0.00","0","0","1"
"32940185","1","17","7301119","Free","Fading Frost"," Where do you turn when you lose a piece of yourself?CRYSTAL FROST has known for a year that she's psychic, but a car accident leaves her sixth sense weaker than ever. When she begins sensing a ghost she can't actually see, Crystal isn't sure if she has what it takes to help. Meanwhile, her friend Derek is going through something personal, only Crystal doesn't know what's wrong. Will she be able to help this ghost cross over, help Derek find peace, and save her own life in the process?","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1478815568i/32940185.jpg","local","upload\Alicia Rades\Fading_Frost_-_Alicia_Rades.epub","0","0","0.00","0","0","1"
"32942027","1","12","2384","Free","Hardcore Twenty-Four","Trouble comes in bunches for Stephanie Plum. First, professional grave robber and semi-professional loon, Simon Diggery, won’t let her take him in until she agrees to care for his boa constrictor, Ethel. Stephanie’s main qualification for babysitting an extremely large snake is that she owns a stun gun—whether that’s for use on the wandering serpent or the petrified neighbors remains to be seen.Events take a dark turn when headless bodies start appearing across town. At first, it’s just corpses from a funeral home and the morgue that have had the heads removed. But when a homeless man is murdered and dumped behind a church Stephanie knows that she’s the only one with a prayer of catching this killer.If all that’s not enough, Diesel’s back in town. The 6-foot-tall, blonde-haired hunk is a man who accepts no limits—that includes locked doors, closed windows and underwear. Trenton’s hottest cop, Joe Morelli isn’t pleased at this unexpected arrival nor is Ranger, the high-powered security consultant who has his own plans for Stephanie.As usual Jersey’s favorite bounty hunter is stuck in the middle with more questions than answers. What’s the deal with Grandma Mazur’s latest online paramour? Who is behind the startling epidemic of mutilated corpses? And is the enigmatic Diesel’s sudden appearance a coincidence or the cause of recent deadly events?","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1490880455i/32942027.jpg","local","upload\Janet Evanovich\Hardcore_Twenty-Four_-_Janet_Evanovich.epub","0","0","0.00","0","0","1"
"32971853","1","12","15098044","Free","Arts, Crafts and Murder"," Crafts are big deal in Pottsville. But is it big enough to murder for?Georgina is adjusting to her new life in a small town when one of her dogs goes missing right before the annual arts and crafts fair. She barely has time to prepare for the show but soon learns that the first place prize is literally something to die for. Can she find her beloved pet and catch a killer?","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1479157773i/32971853.jpg","local","upload\Stacey Alabaster\Craft_Circle_Cozy_Mystery_Boxed_-_Stacey_Alabaster_2.epub","0","0","0.00","0","0","1"
"32978742","1","5","5604797","Free","Rage of Angels","“Everyone on the battlefield stops to focus on us. Both sides are too taken by the match to do anything else. Malakaro looks at me from across the circle with malice and fury. I return his gaze, matching his ire. He begins to move around the circle slowly. He addresses me in his usual calm voice. “Are you sure you’re ready for this, little sis?” he asks. “Bring it..."" One thing is one of us will die today... NORU SERIES IN The Noru series in Book 1: Blue Rose Book 2: Last Akon Book 3: Fall Of The Chosen Book 4: When Angels Break Book 5: Ways of The Wicked Book 6: Rise Of The Alago Book 7: Rage Of Angels","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1479174434i/32978742.jpg","local","upload\Lola St. Vil\Rage_Of_Angels_-_Lola_StVil.epub","0","0","0.00","0","0","1"
