"id","cat_id","sub_cat_id","author_ids","book_access","title","description","image","url_type","url","download_enable","book_on_rent","book_rent_price","book_rent_time","featured","status"
"50970484","1","1","8146388,16907430","Free","The Corvin Chance Chronicles","A Dead Witch. A Dark Elf. An Avenging Wizard.The name’s Corvin Chance, and though I was born with magical abilities, I’d rather be playing my guitar in one of my local pubs. Until someone murdered my mother, that is…

Now I’m slinging magic around the streets of Dublin as I try to find out who killed her. Iolas Tasar—a gangster elf who crowned himself King of the South—is my main suspect. But Iolas is powerful and hard to get to, plus he may not be the only one involved, as he is part of a murderous cabal that includes a bloodthirsty vampire prince. If I’m going to take him down, I’m going to need help. Luckily, I have my two best friends: Dalia, a sardonic Demi-Fae who could scare the bejeezus out of Lucifer himself, and Monty, a wise-cracking street magician and YouTube star with a gift for Technomancy and conjuring.

Together we will enter a dangerous Dublin underbelly populated by dark elves, vampires, goblins and orcs to discover just who killed my mother and why…if we don’t meet our own horrible deaths first, that is.

Join me and my oddball motley crew as we attempt to solve a murder, exact justice and just maybe…get a pint of the black stuff afterward.

This complete box set contains books 1-6 of the Corvin Chance Chronicles urban fantasy adventure, featuring the sarcastic, dirty wit of Corvin Chance as he becomes embroiled in a deadly game that threatens both his life and the world. ","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1561127936l/50970484.jpg","local","upload\N.P. Martin\The_Corvin_Chance_Chronicles_Co_-_N._P._Martin.epub","0","0","0.00","0","0","1"
"50976235","1","17","8038662,3044224,1144378","Free","Darkblade Justice","
A tide of slain children. A hunt for a faceless killer. A clash of shadows and steel.
The Hunter of Voramis stalks a demon wearing human form. The discovery of a child slaughtered in a bloody ritual sets him on a path to hunt down the killers—and a collision course with the criminals that rule the Praamian underworld: the Night Guild.Ilanna, Master of the Night Guild, faces a string of gruesome murders that threaten the peace of her city. The body count is rising and a power-hungry Duke is eager to pin the blame on her and remove the Guild from power. She vows to unmask the culprit before more innocents are slain or, worse, her own followers wind up the next victims.An immortal assassin and a cunning thief. Both are determined to bring justice to the slain at any cost.As long as they don’t kill each other first…

An epic clash ten books in the making! Worlds collide as the Hunter and Ilanna face off in a battle for the city of Praamis. 



If you enjoy thrilling murder mysteries and pulse-pounding sword and sorcery, you’ll LOVE Darkblade Justice. Prepare for total immersion in the dark underground and grim streets of Andy Peloquin’s epic fantasy world! 


Praise for Hero of Darkness:

Action, fear, anger, remorse, rage, and gut wrenching pain, and then, yet more unrelenting action.– R.W.

Well written, page turner and you just can’t stop reading it. I need the next one! – 
Amazon Review

Excellent characters combined with great world building make this a can't miss series for fantasy lovers
. — S.C.



In the Hero of Darkness Series:

Book 1: Darkblade Assassin

Book 2: Darkblade Outcast 

Book 3: Darkblade Protector 

Book 4: Darkblade Seeker 

Book 5: Darkblade Slayer 

Book 6: Darkblade Savior 

Book 7: Darkblade Justice 



Note: 
To truly enjoy Darkblade Justice, readers are recommended to finish the Queen of Thieves novels first:

Book 1: Child of the Night Guild

Book 2: Thief of the Night Guild

Book 3: Queen of the Night Guild

Traitors’ Fate 
","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1564958760l/50976235.jpg","local","upload\Andy Peloquin\Darkblade_Justice_-_Andy_Peloquin.epub","0","0","0.00","0","0","1"
"50979265","1","41","17509744","Free","And Catch the Fly","Originally written under my penname Cleo Fox.No Spoilers here. This is a mystery series, so here is the blurb used for all the books.In Woodside Academy, there’s the popular kids and the geeks. High school seniors Chanel and Jason rule the school as King and Queen, the perfect couple with the perfect futures ahead of them. Sai, Zeke, Rhett, and Bon fall firmly in the geek category, and have faced their fair share of ridicule and bullying from the popular crowd. When Chanel finds herself in need of tutoring to up her grades, it seems like the perfect opportunity for them to exact their revenge. But as they grow closer, they soon realize that Chanel’s life isn’t as perfect as she wants everyone to believe. When Chanel begins receiving threats, she must decide who to trust? Will they guys band together to help her, or will the darkness of her family’s past take control? Full of twists and shocking revelations, nothing is as it seems.","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1560398823l/50979265.jpg","local","uploads/Cleo Fox/And_Catch_the_Fly__A_Contempora_-_Cleo_Fox.epub","0","0","0.00","0","0","1"
"50982764","1","25","6860531","Free","A Bringer of Night","""Who had the Elders been before the Night Bringer came?""Continue the journey in Book 4 of Season 10. Pre-order now.*Beware of spoilers in the reviews below that are without spoiler alerts*","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1568955833l/50982764.jpg","local","upload\Bella Forrest\A_Bringer_of_Night_-_Bella_Forrest.epub","0","0","0.00","0","0","1"
"50997696","1","34","4601475","Free","Outlawed","In the year of our Lord 1894, I became an outlaw.The day of her wedding, 17 year old Ada's life looks good; she loves her husband, and she loves working as an apprentice to her mother, a respected midwife. But after a year of marriage and no pregnancy, in a town where barren women are routinely hanged as witches, her survival depends on leaving behind everything she knows.She joins up with the notorious Hole in the Wall Gang, a band of outlaws led by a preacher-turned-robber known to all as the Kid. Charismatic, grandiose, and mercurial, the Kid is determined to create a safe haven for outcast women. But to make this dream a reality, the Gang hatches a treacherous plan that may get them all killed. And Ada must decide whether she's willing to risk her life for the possibility of a new kind of future for them all.Featuring an irresistibly no-nonsense, courageous, and determined heroine, Outlawed dusts off the myth of the old West and reignites the glimmering promise of the frontier with an entirely new set of feminist stakes. Anna North has crafted a pulse-racing, page-turning saga about the search for hope in the wake of death, and for truth in a climate of small-mindedness and fear.","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1588469822i/50997696.jpg","local","upload\Anna North\Outlawed.epub","0","0","0.00","0","0","1"
"51015363","1","1","18303793","Free","Addicted to the Alien","She can't afford to lose control……but can she control herself around him? Arizona refuses to give up her long-held title of top working Intergalactic Call-Girl despite having the hottest nubile alien she’s ever seen claim her as his mate. It’s clear that despite his relative youth, he knows what he’s doing in the bedroom, and is walking, talking proof that age is nothing but a number.Drozass knows claiming Arizona is a risk. No display of wealth or status has yet revealed Arizona’s softer side, and he has neither. He may be young, but Drozass is convinced he’s exactly what she needs. Can the legendary Arizona really fall for a client and will it cost her the respect of her closest friends, much less herself?If you love steamy science fiction romance, you will love Addicted to the Alien. Come for the hot alien action and stay for the guaranteed HEA!","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1565190525l/51015363.jpg","local","upload\Sabrina Kade\Addicted_to_the_Alien_-_Sabrina_Kade.epub","0","0","0.00","0","0","1"
"51045613","1","2","11728","Free","Deacon King Kong","The funny, sharp, and surprising story of the shooting of a Brooklyn drug dealer and the people who witnessed it—from James McBride, author of the National Book Award-winning The Good Lord BirdIn September 1969, a fumbling, cranky old church deacon known in the neighborhood as Sportcoat shuffles into the courtyard of the Causeway Housing project in south Brooklyn, pulls a .38 from his pocket, and in front of everybody shoots the project's drug dealer at point-blank range.The reasons for this desperate burst of violence and the consequences that spring from it lie at the heart of Deacon King Kong, James McBride's novel and his first since his National Book Award-winning The Good Lord Bird. In  McBride brings to vivid life the people affected by the shooting: the victim, the African-American and Latinx residents who witnessed it, the white neighbors, the local NYPD cops assigned to investigate what happened, the members of the Five Ends Baptist Church where Sportcoat was deacon, the neighborhood's Italian mobsters, and Sportcoat himself.As the story deepens, it becomes clear that the lives of the characters—caught in the tumultuous swirl of New York in the late 1960s—overlap in unexpected ways. When the truth finally emerges, McBride shows us that not all secrets can be hidden, that the best way to grow is to face change without fear, and that the seeds of love lie in compassion and hope.","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1570443527i/51045613.jpg","local","upload\James   McBride\Deacon_King_Kong.epub","0","0","0.00","0","0","1"
"51045998","1","17","6860531","Free","Finch Merlin and the Fount of Youth","
What’s a guy gotta do to appease an evil god?
It’s been a year since Katherine tried to take over the world, and Finch Merlin is itching to do something other than odd jobs for Erebus, God of Darkness. Erebus promises he’ll free Finch of his servitude after he completes one final task—finding the Fountain of Youth.Finch has no idea why Erebus wants eternal youth, since the guy is already an immortal being. All the secrecy makes Finch uneasy, but he has no choice but to obey.He knows he’ll get by with a little help from his friends, namely his old pal Garrett, who’s still dealing with the whole “being resurrected” thing. There’s also Ryann, Harley’s foster sister, now a regular at the San Diego Coven. Whenever she’s around, Finch feels butterflies in his stomach. Or maybe it’s just a bad case of indigestion.Together, they’ll infiltrate the flashy world of the magical elite in search of a rare artifact, one that will help them capture a poltergeist—the angry ghost of famed adventurer Ponce de León.Finch’s adventures have only just begun, with plenty of old and new friends… and foes.Pre-order now.*Beware of spoilers in the reviews below that are without spoiler alerts.*","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1561855892l/51045998.jpg","local","upload\Bella Forrest\Finch_Merlin_and_the_Fount_of_Y_-_Bella_Forrest.epub","0","0","0.00","0","0","1"
"51054401","1","41","14548436","Free","Protected by the Vampires","Little maids shouldn't play with the big boys.Piper dreams of the days when unemployment was her biggest problem. Working for an jerk boss she could handle but working for six sexy vampires? Not so much.This little maid is going to wish that was all she had to worry about now that her masters' master has called them home. And daddy dearest wants to meet her.Dancing around paranormal politics and a crazed vampire set on making Piper his, she'll be tested in more than just her nerves. Can this little human maid keep her with about her with so many dangers around or will her heart get the best of her?","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1565289513l/51054401.jpg","local","upload\Erin  Bedford\Protected_by_the_Vampires_-_Erin_Bedford.epub","0","0","0.00","0","0","1"
"51058282","1","45","8390541","Free","Nine of Wands","Gold. Beautiful and Deadly. And doubly deadly when you mix it with magick.  Conrad and Mina take a time-out from trouble in Spain. It’s their own little Garden of Eden, until a Tarot reader tells him that his troubles have barely begun.  Expelled from Paradise, Conrad and the team have to chase the trail of a new source of Alchemical Gold. A source that already has Dwarves, Gnomes and human Mages at each other’s throats.  When the prize is gold, life is cheap, and nothing blinds like greed. Can Conrad keep his eyes open and see through the killing glare of gold?  When the Tarot says Nine of Wands, you know you’re in for a bumpy ride.","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1562436571l/51058282.jpg","local","upload\Mark   Hayden\Nine_of_Wands_-_Mark_Hayden.epub","0","0","0.00","0","0","1"
