Genre,URL
narrative,https://www.goodreads.com/genres/narrative
native-american,https://www.goodreads.com/genres/native-american
native-americans,https://www.goodreads.com/genres/native-americans
nautical,https://www.goodreads.com/genres/nautical
new-york,https://www.goodreads.com/genres/new-york
non-fiction,https://www.goodreads.com/genres/non-fiction
novel-in-verse,https://www.goodreads.com/genres/novel-in-verse
novella,https://www.goodreads.com/genres/novella
occult,https://www.goodreads.com/genres/occult
outlander,https://www.goodreads.com/genres/outlander
outlander-series,https://www.goodreads.com/genres/outlander-series
paranormal-fiction,https://www.goodreads.com/genres/paranormal-fiction
paranormal-urban-fantasy,https://www.goodreads.com/genres/paranormal-urban-fantasy
pediatrics,https://www.goodreads.com/genres/pediatrics
percy-bysshe-shelley,https://www.goodreads.com/genres/percy-bysshe-shelley
percy-jackson,https://www.goodreads.com/genres/percy-jackson
planetary-science,https://www.goodreads.com/genres/planetary-science
poetry,https://www.goodreads.com/genres/poetry
police-romance,https://www.goodreads.com/genres/police-romance
political-journalism,https://www.goodreads.com/genres/political-journalism
political-thriller,https://www.goodreads.com/genres/political-thriller
polyamory,https://www.goodreads.com/genres/polyamory
pornography,https://www.goodreads.com/genres/pornography
prayer,https://www.goodreads.com/genres/prayer
preservation,https://www.goodreads.com/genres/preservation
productivity,https://www.goodreads.com/genres/productivity
psychological-drama,https://www.goodreads.com/genres/psychological-drama
psychological-suspense,https://www.goodreads.com/genres/psychological-suspense
queer-fantasy,https://www.goodreads.com/genres/queer-fantasy
queer-romance,https://www.goodreads.com/genres/queer-romance
race,https://www.goodreads.com/genres/race
relationships,https://www.goodreads.com/genres/relationships
renaissance,https://www.goodreads.com/genres/renaissance
renaissance-studies,https://www.goodreads.com/genres/renaissance-studies
rock-climbing,https://www.goodreads.com/genres/rock-climbing
roman,https://www.goodreads.com/genres/roman
romantic,https://www.goodreads.com/genres/romantic
romantic-comedy,https://www.goodreads.com/genres/romantic-comedy
romantic-mystery,https://www.goodreads.com/genres/romantic-mystery
royal-romance,https://www.goodreads.com/genres/royal-romance
satanism,https://www.goodreads.com/genres/satanism
satire,https://www.goodreads.com/genres/satire
science-fiction-fantasy,https://www.goodreads.com/genres/science-fiction-fantasy
science-nature,https://www.goodreads.com/genres/science-nature
scientific-historical-fiction,https://www.goodreads.com/genres/scientific-historical-fiction
second-chance,https://www.goodreads.com/genres/second-chance
second-chance-romance,https://www.goodreads.com/genres/second-chance-romance
self-esteem,https://www.goodreads.com/genres/self-esteem
self-reliance,https://www.goodreads.com/genres/self-reliance
sequential-art,https://www.goodreads.com/genres/sequential-art
serial-killer,https://www.goodreads.com/genres/serial-killer
sex-and-erotica,https://www.goodreads.com/genres/sex-and-erotica
sexuality,https://www.goodreads.com/genres/sexuality
shakespeare,https://www.goodreads.com/genres/shakespeare
singularity,https://www.goodreads.com/genres/singularity
sleuth,https://www.goodreads.com/genres/sleuth
slow-burn,https://www.goodreads.com/genres/slow-burn
slow-burn-romance,https://www.goodreads.com/genres/slow-burn-romance
small-town-romance,https://www.goodreads.com/genres/small-town-romance
smut,https://www.goodreads.com/genres/smut
soccer,https://www.goodreads.com/genres/soccer
social,https://www.goodreads.com/genres/social
solarpunk,https://www.goodreads.com/genres/solarpunk
space,https://www.goodreads.com/genres/space
spanish-literature,https://www.goodreads.com/genres/spanish-literature
spicy-romance,https://www.goodreads.com/genres/spicy-romance
spirituality,https://www.goodreads.com/genres/spirituality
steamy-romance,https://www.goodreads.com/genres/steamy-romance
stem,https://www.goodreads.com/genres/stem
strong-female,https://www.goodreads.com/genres/strong-female
strong-female-lead,https://www.goodreads.com/genres/strong-female-lead
summer,https://www.goodreads.com/genres/summer
summer-reads,https://www.goodreads.com/genres/summer-reads
summer-romance,https://www.goodreads.com/genres/summer-romance
sunshine-grumpy,https://www.goodreads.com/genres/sunshine-grumpy
« previous,https://www.goodreads.com/genres/list?filter=top-level&page=1&utf8=%E2%9C%93
1,https://www.goodreads.com/genres/list?filter=top-level&page=1&utf8=%E2%9C%93
3,https://www.goodreads.com/genres/list?filter=top-level&page=3&utf8=%E2%9C%93
next »,https://www.goodreads.com/genres/list?filter=top-level&page=3&utf8=%E2%9C%93
Art,https://www.goodreads.com/genres/art
Biography,https://www.goodreads.com/genres/biography
Business,https://www.goodreads.com/genres/business
Children's,https://www.goodreads.com/genres/children-s
Christian,https://www.goodreads.com/genres/christian
Classics,https://www.goodreads.com/genres/classics
Comics,https://www.goodreads.com/genres/comics
Cookbooks,https://www.goodreads.com/genres/cookbooks
Ebooks,https://www.goodreads.com/genres/ebooks
Fantasy,https://www.goodreads.com/genres/fantasy
Fiction,https://www.goodreads.com/genres/fiction
Graphic Novels,https://www.goodreads.com/genres/graphic-novels
Historical Fiction,https://www.goodreads.com/genres/historical-fiction
History,https://www.goodreads.com/genres/history
Horror,https://www.goodreads.com/genres/horror
Memoir,https://www.goodreads.com/genres/memoir
Music,https://www.goodreads.com/genres/music
Mystery,https://www.goodreads.com/genres/mystery
Nonfiction,https://www.goodreads.com/genres/non-fiction
Poetry,https://www.goodreads.com/genres/poetry
Psychology,https://www.goodreads.com/genres/psychology
Romance,https://www.goodreads.com/genres/romance
Science,https://www.goodreads.com/genres/science
