folder_name,path,count
Lisa Renee Jones,D:\Novels Library\Final_all_books\Lisa Renee Jones,29
Liz Schulte,D:\Novels Library\Final_all_books\Liz Schulte,29
Robin Cook,D:\Novels Library\Final_all_books\Robin Cook,29
Sherrilyn Kenyon,D:\Novels Library\Final_all_books\Sherrilyn Kenyon,29
Brenda Jackson,D:\Novels Library\Final_all_books\Brenda Jackson,28
Cathy Williams,D:\Novels Library\Final_all_books\Cathy Williams,28
Charles Dickens,D:\Novels Library\Final_all_books\Charles Dickens,28
Eileen Wilks,D:\Novels Library\Final_all_books\Eileen Wilks,28
Isaac Asimov,D:\Novels Library\Final_all_books\Isaac Asimov,28
Kate Hardy,D:\Novels Library\Final_all_books\Kate Hardy,28
Kate Hewitt,D:\Novels Library\Final_all_books\Kate Hewitt,28
Kim Lawrence,D:\Novels Library\Final_all_books\Kim Lawrence,28
Pandora Pine,D:\Novels Library\Final_all_books\Pandora Pine,28
Alexandra Ivy,D:\Novels Library\Final_all_books\Alexandra Ivy,27
Annie West,D:\Novels Library\Final_all_books\Annie West,27
Jennifer Greene,D:\Novels Library\Final_all_books\Jennifer Greene,27
Laura Thalassa,D:\Novels Library\Final_all_books\Laura Thalassa,27
"Lamb, Charlotte","D:\Novels Library\Final_all_books\Lamb, Charlotte",27
May Sage,D:\Novels Library\Final_all_books\May Sage,27
Sarina Bowen,D:\Novels Library\Final_all_books\Sarina Bowen,27
Andrew Dobell,D:\Novels Library\Final_all_books\Andrew Dobell,26
C. J. Archer,D:\Novels Library\Final_all_books\C. J. Archer,26
Caridad Pineiro,D:\Novels Library\Final_all_books\Caridad Pineiro,26
Gayle Wilson,D:\Novels Library\Final_all_books\Gayle Wilson,26
George R.R. Martin,D:\Novels Library\Final_all_books\George R.R. Martin,26
John Corwin,D:\Novels Library\Final_all_books\John Corwin,26
Kailin Gow,D:\Novels Library\Final_all_books\Kailin Gow,26
Katharine Kerr,D:\Novels Library\Final_all_books\Katharine Kerr,26
Lara Adrian,D:\Novels Library\Final_all_books\Lara Adrian,26
Lily Harper Hart,D:\Novels Library\Final_all_books\Lily Harper Hart,26
Mark Lawrence,D:\Novels Library\Final_all_books\Mark Lawrence,26
